iter	Passed	Remaining
0	4	484
1	8	439
2	13	428
3	16	396
4	20	387
5	24	382
6	28	384
7	32	377
8	36	372
9	40	367
10	45	367
11	49	365
12	54	362
13	58	356
14	62	353
15	66	350
16	71	347
17	75	343
18	79	340
19	84	336
20	88	333
21	93	329
22	97	325
23	101	320
24	105	316
25	110	313
26	114	308
27	118	305
28	122	300
29	126	295
30	131	292
31	135	288
32	139	284
33	144	280
34	149	277
35	153	273
36	157	268
37	161	264
38	166	259
39	170	255
40	174	250
41	176	243
42	180	239
43	184	235
44	188	230
45	193	226
46	197	222
47	201	218
48	205	213
49	209	209
50	214	205
51	218	201
52	222	197
53	226	193
54	229	187
55	233	183
56	237	179
57	241	174
58	245	170
59	249	166
60	254	162
61	258	158
62	262	154
63	266	149
64	271	145
65	274	141
66	278	137
67	282	132
68	286	128
69	290	124
70	293	120
71	297	115
72	300	111
73	303	106
74	307	102
75	310	98
76	313	93
77	316	89
78	319	84
79	322	80
80	326	76
81	329	72
82	332	68
83	335	63
84	338	59
85	341	55
86	344	51
87	347	47
88	349	43
89	352	39
90	355	35
91	358	31
92	360	27
93	363	23
94	365	19
95	368	15
96	371	11
97	373	7
98	376	3
99	379	0
